Id,Label
a1,George Lucas
a2,Mark Hamill
a3,Harrison Ford
a4,Carrie Fisher
a5,Peter Cushing
a6,Anthony Daniels
a7,Andrew Stanton
a8,Lee Unkrich
a10,Bob Peterson
a11,David Reynolds
a12,Alexander Gould
a13,Albert Brooks
a14,Ellen DeGeneres
a18,Brad Garrett
a19,Allison Janney
a20,Elizabeth Perkins
a22,Barry Humphries
a23,Bill Hunter
a24,Robert Zemeckis
a31,Tom Hanks
a32,Robin Wright
a33,Gary Sinise
a34,Mykelti Williamson
a35,Sally Field
a37,Alan Silvestri
a39,Sam Mendes
a40,Orson Welles
a42,Lars von Trier
a47,Björk
a48,Sean Bean
a49,Maria Bello
a50,Catherine Deneuve
a51,Richard Elfyn
a52,David Morse
a53,Peter Stormare
a54,Maurice Roeves
a55,Abigail Stone
a56,Sophie Stuckey
a62,Bruce Willis
a63,Milla Jovovich
a64,Gary Oldman
a65,Ian Holm
a66,Chris Tucker
a68,Fritz Lang
a69,Gottfried Huppertz
a73,Alfred Abel
a74,Gustav Fröhlich
a75,Brigitte Helm
a77,Rudolf Klein-Rogge
a78,Fritz Rasp
a79,Theodor Loos
a80,Erwin Biswanger
a81,Heinrich George
a82,Olaf Storm
a83,Hanns Leo Reich
a85,Johnny Depp
a86,Bruce Brown
a92,Robert August
a93,Esther García
a98,Sarah Polley
a99,Amanda Plummer
a100,Scott Speedman
a101,Leonor Watling
a102,Deborah Harry
a103,Mark Ruffalo
a108,Peter Jackson
a109,Elijah Wood
a110,Viggo Mortensen
a112,Cate Blanchett
a113,Christopher Lee
a114,Orlando Bloom
a116,Keira Knightley
a118,Geoffrey Rush
a130,Kenny Baker
a131,Jake Gyllenhaal
a132,Scott MacDonald
a133,Peter Sarsgaard
a134,Jamie Foxx
a138,Quentin Tarantino
a139,Uma Thurman
a140,Lucy Liu
a141,David Carradine
a147,Michael Madsen
a150,RZA
a152,Jim Morrison
a154,Walter Murch
a155,Lucas Black
a156,Sally Menke
a164,Lior Ashkenazi
a165,Knut Berger
a166,Caroline Peters
a167,Gideon Shemer
a168,Carola Regnier
a169,Hanns Zischler
a170,Ernest Lenart
a176,Kieran O'Brien
a177,Margo Stilley
a190,Clint Eastwood
a192,Morgan Freeman
a193,Gene Hackman
a194,Richard Harris
a195,Lennie Niehaus
a197,David Silverman
a198,Dan Castellaneta
a199,Julie Kavner
a200,Nancy Cartwright
a201,Michel Gondry
a204,Kate Winslet
a205,Kirsten Dunst
a206,Jim Carrey
a207,Tom Wilkinson
a208,Ryan Whitney
a209,Jane Adams
a210,Amir Ali Said
a211,Debbon Ayer
a212,David Cross
a213,Gerry Robert Byrne
a214,Brian Price
a216,Josh Flitter
a217,Paul Litowsky
a220,Lola Daehler
a221,Lauren Adler
a223,Alejandro González Iñárritu
a224,David Cronenberg
a225,Ashton Holmes
a226,Heidi Hayes
a227,William Hurt
a228,Ed Harris
a229,Peter MacNeill
a230,Stephen McHattie
a231,Greg Bryk
a232,Kyle Schmid
a233,Sumela Kay
a234,Gerry Quigley
a235,Deborah Drakeford
a236,Bill MacDonald
a237,Aidan Devine
a240,Stanley Kubrick
a241,Arthur C. Clarke
a245,Keir Dullea
a246,Gary Lockwood
a247,William Sylvester
a248,Daniel Richter
a249,Leonard Rossiter
a250,Margaret Tyzack
a251,Robert Beatty
a252,Sean Sullivan
a253,Douglas Rain
a258,Gael García Bernal
a259,Vanessa Bauche
a260,Marco Pérez
a261,Goya Toledo
a262,Alvaro Guerrero
a263,Emilio Echevarría
a264,Jorge Salinas
a265,Rodrigo Murray
a266,Humberto Busto
a267,Gerardo Campbell
a268,Rosa María Bianchi
a269,Dunia Saldívar
a270,Adriana Barraza
a271,José Sefami
a272,Lourdes Echevarría
a273,Guillermo Arriaga
a279,Antonio Vega
a280,Terry Gilliam
a287,Brad Pitt
a288,Jon Seda
a289,Madeleine Stowe
a290,Christopher Plummer
a291,Frank Gorshin
a292,Frederick Strother
a293,Roger Pratt
a306,John Wagner
a309,Pedro Almodóvar
a311,Michel Ruben
a312,Jon Brion
a313,Ellen Kuras
a323,Curtis Hanson
a325,Eminem
a326,Kim Basinger
a327,Mekhi Phifer
a328,Brittany Murphy
a333,Evan Jones
a334,Omar Benson Miller
a335,Michael Shannon
a336,Xzibit
a341,De'Angelo Wilson
a342,Eugene Byrd
a343,Taryn Manning
a344,Larry Hudson
a346,Mike Bell
a348,William Goldman
a349,Scott Glenn
a350,Laura Linney
a351,Judy Davis
a352,Dennis Haysbert
a356,Jack Green
a366,James Mangold
a368,Reese Witherspoon
a369,Henry Bumstead
a374,Charles McKeown
a378,Jonathan Pryce
a380,Robert De Niro
a381,Katherine Helmond
a382,Bob Hoskins
a383,Michael Palin
a384,Joel Cox
a385,Ian Richardson
a386,Peter Vaughan
a387,Kim Greist
a388,Jim Broadbent
a389,Alison Eastwood
a397,Darío Moreno
a398,Rosario Flores
a399,Mariola Fuentes
a400,Geraldine Chaplin
a402,Pina Bausch
a404,Melora Hardin
a408,James Keach
a410,John Carter Cash
a417,Ginnifer Goodwin
a418,Robert Patrick
a419,Tyler Hilton
a420,Johnathan Rice
a421,Shooter Jennings
a422,Waylon Payne
a423,Phyllis Huffman
a424,Dallas Roberts
a425,Dan John Miller
a426,Larry Bagby
a427,Sandra Ellis Lafferty
a428,Dan Beene
a429,Lucas Till
a430,Hailey Anne Nelson
a431,Victoria Hester
a448,Hilary Swank
a449,Jay Baruchel
a450,Mike Colter
a451,Lucia Rijker
a452,Margo Martindale
a453,Riki Lindhome
a454,Michael Peña
a455,Paul Haggis
a477,Julie Walters
a478,Jamie Bell
a479,Jamie Draven
a480,Gary Lewis
a481,Jean Heywood
a482,Stuart Wells
a483,Nicola Blackwell
a486,Wallace Wolodarsky
a487,Janine Birkett
a488,Steven Spielberg
a489,Kathleen Kennedy
a491,John Williams
a492,Janusz Kamiński
a496,Rick Carter
a500,Tom Cruise
a501,Dakota Fanning
a502,Miranda Otto
a503,Justin Chatwin
a504,Tim Robbins
a505,Camillia Sanes
a506,John Scurti
a507,Josh Friedman
a508,David Koepp
a510,Tim Burton
a514,Jack Nicholson
a515,Glenn Close
a516,Annette Bening
a517,Pierce Brosnan
a518,Danny DeVito
a519,Martin Short
a520,Sarah Jessica Parker
a521,Michael J. Fox
a522,Rod Steiger
a523,Tom Jones
a524,Natalie Portman
a525,Christopher Nolan
a526,Lukas Haas
